id,session_id,tg_user_id,event_type,event_name,page,metadata,created_at,event_category,event_subtype,element_id,element_type,section,scroll_depth,time_spent,interaction_count,previous_event_id,step_number,completion_rate,error_message,custom_data
649,57,,content,content_view,,,2026-01-25 20:36:10,engagement,,,,,0,10505,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
650,57,,content,content_view,,,2026-01-25 20:37:37,engagement,,,,,0,10592,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
651,57,,content,content_view,,,2026-01-25 20:40:12,engagement,,,,,0,10747,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""0884592e-50e3-4423-99d3-ef2a9e43c82f""}"
652,70,,visit,source_visit,,,2026-01-25 21:02:21,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""https://spacegrow.vercel.app/""}"
653,70,,app,miniapp_open,,,2026-01-25 21:02:22,engagement,,,,,,,,,,,,"{""device"": ""desktop"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
654,70,,content,content_view,,,2026-01-25 21:02:22,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
655,70,,content,personal_path_view,,,2026-01-25 21:02:37,engagement,,,,,,0,,,,,,"{""open_time"": 1769374957276, ""duration"": 0, ""downloaded"": false, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
656,71,,visit,source_visit,,,2026-01-25 21:03:15,acquisition,,,,,,,,,,,,"{""source"": ""telegram_miniapp"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4"", ""utm_source"": null, ""utm_medium"": null, ""utm_campaign"": null, ""utm_term"": null, ""utm_content"": null, ""referrer"": ""https://spacegrow.vercel.app/""}"
657,71,,app,miniapp_open,,,2026-01-25 21:03:16,engagement,,,,,,,,,,,,"{""device"": ""mobile"", ""page_id"": ""main"", ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
658,71,,content,content_view,,,2026-01-25 21:03:16,engagement,,,,Main Page,0,0,,,,,,"{""content_type"": ""page"", ""content_id"": ""main"", ""content_title"": null, ""cookie_id"": ""e7d184d1-a0a9-4a03-8d7c-585ad7d0cab4""}"
